symbol,name,theme,bucket,priority,market,sector,asset_type,is_topix500,is_jpx_prime150,is_growth250,is_jpx_startup100,source_detail,source_url
5016.T,ＪＸ金属,Japan TOPIX 500,Core,A,Prime/TOPIX,非鉄金属,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
5019.T,出光興産,Japan TOPIX 500,Core,A,Prime/TOPIX,石油・石炭製品,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
5020.T,ＥＮＥＯＳホールディングス,Japan TOPIX 500,Core,A,Prime/TOPIX,石油・石炭製品,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
5021.T,コスモエネルギーホールディングス,Japan TOPIX 500,Core,A,Prime/TOPIX,石油・石炭製品,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
5076.T,インフロニア・ホールディングス,Japan TOPIX 500,Core,A,Prime/TOPIX,建設業,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
5101.T,横浜ゴム,Japan TOPIX 500,Core,A,Prime/TOPIX,ゴム製品,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
5105.T,ＴＯＹＯ ＴＩＲＥ,Japan TOPIX 500,Core,A,Prime/TOPIX,ゴム製品,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
5108.T,ブリヂストン,Japan Quality / Prime 150,Core,A,Prime/TOPIX,ゴム製品,equity,true,true,false,false,topix500|jpx_prime150,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv|https://www.jpx.co.jp/automation/markets/indices/jpx-prime150/files/jpxprime150weight_j.csv
5110.T,住友ゴム工業,Japan TOPIX 500,Core,A,Prime/TOPIX,ゴム製品,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
5201.T,ＡＧＣ,Japan TOPIX 500,Core,A,Prime/TOPIX,ガラス・土石製品,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
5214.T,日本電気硝子,Japan TOPIX 500,Core,A,Prime/TOPIX,ガラス・土石製品,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
5232.T,住友大阪セメント,Japan TOPIX 500,Core,A,Prime/TOPIX,ガラス・土石製品,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
5233.T,太平洋セメント,Japan TOPIX 500,Core,A,Prime/TOPIX,ガラス・土石製品,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
5301.T,東海カーボン,Japan TOPIX 500,Core,A,Prime/TOPIX,ガラス・土石製品,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
5332.T,ＴＯＴＯ,Japan TOPIX 500,Core,A,Prime/TOPIX,ガラス・土石製品,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
5333.T,日本碍子,Japan TOPIX 500,Core,A,Prime/TOPIX,ガラス・土石製品,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
5334.T,日本特殊陶業,Japan TOPIX 500,Core,A,Prime/TOPIX,ガラス・土石製品,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
5344.T,ＭＡＲＵＷＡ,Japan TOPIX 500,Core,A,Prime/TOPIX,ガラス・土石製品,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
5393.T,ニチアス,Japan TOPIX 500,Core,A,Prime/TOPIX,ガラス・土石製品,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
5401.T,日本製鉄,Japan TOPIX 500,Core,A,Prime/TOPIX,鉄鋼,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
5406.T,神戸製鋼所,Japan TOPIX 500,Core,A,Prime/TOPIX,鉄鋼,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
5411.T,ＪＦＥホールディングス,Japan TOPIX 500,Core,A,Prime/TOPIX,鉄鋼,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
